[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js | Instanceof Error ] [Range Error]:  Some error message

[ index.js | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ D:\Thuis\Coding\NPM Packages\Castoe-Streamer\index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ D:\Thuis\Coding\NPM Packages\Castoe-Streamer\index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ D:\Thuis\Coding\NPM Packages\Castoe-Streamer\src\Transports\ConsoleTransport.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ D:\Thuis\Coding\NPM Packages\Castoe-Streamer\src\Transports\ConsoleTransport.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ D:\Thuis\Coding\NPM Packages\Castoe-Streamer\src\Transports\ConsoleTransport.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ D:\Thuis\Coding\NPM Packages\Castoe-Streamer\src\Transports\ConsoleTransport.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ ConsoleTransport.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ ConsoleTransport.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined:undefined | Typeof String ] [Info]:  Succes

[ index.js:13 | Instanceof Error ] [Range Error]:  Some error message

[ index.js:14 | Typeof Object ] [REGEX]:  /w/

[ undefined | Typeof String ] [Info]:  Succes

